name,ring,quadrant,isNew,description
Mongo Atlas,Assess,Platforms,FALSE,<p>Atlas provides significant observability and support. Plan for moving existing mongo databases to Atlas.</p>
Bokken Windows,Assess,Platforms,FALSE,<p>We know that we will be using Bokken at some point in the future. We want to start assessing what it would mean to use Bokken to run our Windows OS based builds.</p>
Bokken Mac,Assess,Platforms,FALSE,<p>We know that we will be using Bokken at some point in the future. We want to start assessing what it would mean to use Bokken to run our Mac OS based builds.</p>
Anka,Assess,Platforms,FALSE,<p>We need to start evaluating Anka as an alternative to VMWare.</p>
Orka,Assess,Platforms,FALSE,<p>We need to start evaluating Anka as an alternative to VMWare.</p>
Datadog Logs,Trial,Platforms,FALSE,<p>Moving logging into Datadog may be beneficial.</p>
Datadog Metrics,Trial,Platforms,FALSE,"<p>Using Datadog for metrics seems to be a good option which should meet most of our needs, and is cost-effective. Needs to be trialed before we commit to a large-scale investment.</p>"
Datadog APM,Trial,Platforms,FALSE,"<p>Datadog APM may provide some very low effort observability, but still requires research.</p>"
BigQuery,Adopt,Platforms,FALSE,<p>Should be our default for creating and dealing with data sets.</p>
Helm,Adopt,Platforms,FALSE,<p>Should be our default for managing K8s.</p>
Vault,Adopt,Platforms,FALSE,<p>Vault should be our default when dealing with secrets.</p>
Self-hosted databases,Hold,Platforms,FALSE,"<p>Do not self-host any databases. Use a cloud provider (GCP, AWS, Azure) and plan to remain as cloud agnostic as possible, to enable moving databases to alternative cloud providers.</p>"
Using other teams’ services,Hold,Techniques,FALSE,"<p>By default, do not add new dependencies on services / infrastructure owned by teams outside of Cloud Devops.</p>"
Serverless,Assess,Techniques,FALSE,<p>More research needs to be done before we can decide if it's worth us investing in running serverless apps.</p>
No-ops K8s,Assess,Techniques,FALSE,"<p>This goes hand-in-hand with assessing Serverless - if we do see benefits to trialing serverless apps, NoOps K8s is likely a good place to start more specific research.</p>"
Command line tools,Assess,Techniques,FALSE,"<p>There may be benefits to creating more command line tools for internal use, we need to do some assessment here as to what the benefits would be and what the alternatives are (tools with web front-ends? no tools at all?)</p>"
ChatOps,Assess,Techniques,FALSE,<p>We're interested in the idea of ChatOps. We need to put some thought into where (if anywhere) we might benefit from using ChatOps to solve either internal or user-facing issues.</p>
blue/green deployments,Assess,Techniques,FALSE,<p>We believe that we would greatly benefit from blue/green deploys - we often need to deploy fairly significant changes and often have no way of rolling back other than deploying again. We want to research where specifically in our system blue/green deployments are likely to be most useful and practical before moving on to a trial.</p>
Mono repos,Assess,Techniques,FALSE,"<p>We're interested in the idea of mono-repos, but don't yet have a strong argument for trialing them. Further research is needed to determine how/where we'd benefit most, and what the specific trade-offs would be.</p>"
A/B testing,Trial,Techniques,FALSE,<p>Testing Cloud Build is hard. Being able to easily A/B test in production would give us greater confidence in our more significant releases. We would like to trial A/B testing in one part of the system to determine if it's something we want to use more widely.</p>
Automatic code generation,Trial,Techniques,FALSE,<p>Try out some tools for automatic code generation to determine if we would benefit from them.</p>
Dynamic cloud environments,Trial,Techniques,FALSE,"<p>In the future we want to be able to build in multiple cloud environments and be able to dynamically determine where to build. This is not something we will be able to support in the near future, but knowing that we want to do this may inform some of our choices and there may be research we can do here.</p>"
Modular code,Adopt,Techniques,FALSE,"<p>New code should be as modular as possible. Where practical, refactor existing code to be more modular.</p>"
Feature flags,Adopt,Techniques,FALSE,<p>Add feature flags whenever practical.</p>
Micro services,Adopt,Techniques,FALSE,"<p>When practical, create new micro-services rather than adding to a monolith.</p>"
Containerization,Adopt,Techniques,FALSE,<p>Generally have a bias towards being able to run in a container. Construct hard to run toolchains to use containers.</p>
Pair Programming,Trial,Techniques,FALSE,"<p>Within our teams we should try out Pair Programming (or a similar technique) as a way to allow collaboration, encourage shared understanding, and standaradize practices and tooling.</p>"
